session_id,clicks_count,durations,click_frequency
03jt2p4bdru20sjb9me2gco6j4,10,1606000878926,6.226646654569341e-12
071tbv7fsev5d64kb0f9jieor6,19,677103,2.8060723405449393e-05
094i85crhkpkhqpi3rl4athrn4,17,1606000279969,1.0585303260549957e-11
0ht0u328t4mkgi01sp7mm07e01,10,141246,7.079846508927686e-05
0i5kvpslrq3vb6u8ff2kuejv0v,16,460995,3.470753478888058e-05
0ikgnsdpp5jt1qd7fro2va4oka,8,1606001045138,4.981316808117381e-12
0jfeqj4kpolvb97o2s5ks7l0j4,19,1606000585870,1.1830630802483395e-11
0oa2dua3mli7mrr32c0gd4o0i2,7,160409,4.3638449214196214e-05
0ogg5l1i4nh37ek8mjpn8q9fc0,8,24628,0.00032483352281955497
0oi4fvkqd1acu5g08vep8eefqg,12,1606000111290,7.471979556938603e-12
0p0kaqfmftrtfg0u12rkshrdi9,10,210507,4.750435852489466e-05
0pcr6mashfodserb90cq3p04uf,14,278649,5.0242419674931543e-05
0sejj3er3n0v1sfjv2jbnhaav4,10,88499,0.00011299562706923242
0ucre4qu5jiho5kbjq61hr495f,20,1606000335246,1.2453297524957545e-11
0uhr32hgcllradm0p6b15371gi,40,1595001051127,2.507835337897533e-11
0vkricl80bt5v7n2s6bbhvlvk3,11,1606000134172,6.849314496272587e-12
124nsuu4makfggp1h3ametehri,9,1606000083843,5.6039847634776496e-12
16r8lv9fabgjk06di8usnmu9ni,18,427428,4.21123557651815e-05
1afcff96kgdbmevi5aemi5mkuj,15,422112,3.553559244939732e-05
1aqgqrcuurlmvvbbpirvsh7e53,12,310202,3.868447011947054e-05
1c1h9oumn2pa0pb04v8f6fn515,11,1606000108455,6.849314605951173e-12
1g4h4vh4d2uv360aoo55b086hd,20,1606000383443,1.2453297151226886e-11
1gpqg899dn1eafk0j474koislc,15,1606000273649,9.339973501946195e-12
1hv0rajig2vijia10tvjvhq12e,17,1606009611367,1.0585241756760082e-11
1j8bfg4kkf15a9oj1igr147ol2,34,1606002303744,2.1170579843339794e-11
1jtqu9bvu7bii5p6kcsbgqbqa3,16,1606000450111,9.962637307414295e-12
1m7s5287lpll34gm0amdciqvb5,11,1606000031108,6.849314935822859e-12
1mvlnshabcf3gbr9subps50a00,24,1606001045020,1.4943950425450142e-11
1nbs17btpqhl48dfu2nklqhffq,9,1606000252819,5.603984173852008e-12
1nufffs0sri7c3ere47b9i5srv,10,1606000031176,6.226649941393501e-12
1onh1ot5pr6j6g739m8cp5dfj0,13,1606000125721,8.09464444728095e-12
1r170g6lqfoff21od5nn9f976a,11,445151,2.4710716139017996e-05
1sijirkrahu3j2dp0qmb78691l,20,1606000435893,1.2453296744517511e-11
1ttvuqau08dh4t1cjg50pr2298,19,586952,3.237061974403358e-05
1u41k0lehrsbt97q0pe4knpa6c,14,42733,0.00032761566002854935
20054o9vd2q32sqnc3g6kj17om,13,419206,3.101100652185322e-05
26v7bi8e0oc7p58e3s9v8eic9f,16,494731,3.234080742868347e-05
27479tfiqfgi99u7r4vq0q33db,20,1606000189119,1.2453298658060157e-11
2cod58pj6b57pun9fl0vhiqoia,15,1606000261975,9.33997356983837e-12
2h80p3ff9jpfboaddjevmi55rs,18,1606000249070,1.120796837386757e-11
2ing4ldnnd40og2ej20qnsesbb,33,1606001277429,2.054792886144445e-11
2j54lp7l4tosj8qtp2jaq0654a,17,1606000399528,1.0585302472525076e-11
2k97re4f45gl0ktl40bav6lfqf,9,1606000076758,5.6039847882000844e-12
2l614ncb4kp7p6q9b0a5ln3ao6,17,1606000277885,1.0585303274285803e-11
2ojc0m4iu85a1fggs34ppevk2k,8,1606000761173,4.981317688888836e-12
2s8fa1s8oe1rqsf0ddm7m9q7da,17,232498,7.311890854975096e-05
2vhdk7kkt7dtos2hn1fnlkf9ee,13,1606000092025,8.094644617117266e-12
30jcp3kes0o21ej00145hji0gi,14,1606000092008,8.717309587757024e-12
36m3d3mt4dfs9shoptldptokbe,10,1606000170453,6.22664940140033e-12
36rja5utab0pakj5136bi7rkop,186,1606005738339,1.1581527734288745e-10
37f112qml42d33pentjpilckno,13,1606000133339,8.094644408884314e-12
38n32l6uepd8e4gvce8gaaeiuq,28,1606001392022,1.743460506266886e-11
3ctnavj7r6jrdpq5q0n8s7s4l1,16,337059,4.746943413467672e-05
3d46kbg48go8hu4srfkogn5p27,20,1606000346232,1.2453297439769564e-11
3dlhqa29pdkpur5c0fh3a1gcga,36,1606000891640,2.2415927778992624e-11
3e1l4pk01sc0ailn31s1mk5482,13,1606000133288,8.094644409141367e-12
3io4o9tlg7fa20l20kbidpqh7f,12,1606000227585,7.471979015871516e-12
3n5tfsl313lu7d2r708qdqtqe0,12,1606000207370,7.471979109922598e-12
3nc17617gvarormtprojm161k4,14,1606000167821,8.71730917624686e-12
3p31i0ob3gn1isfdhbjeuc5j0p,262,1606004732354,1.631377509180647e-10
3p6scp5rnqun6k08tnudv5gacg,11,1606000233569,6.849314072361495e-12
3p8qp6np717jbhmhu8329s9nb6,12,1606000098224,7.471979617728689e-12
3qfgfasvf42im2b2pba7hlhvdq,10,172209,5.806897432770645e-05
3r9cb69qg00fac5os9au9a745h,11,1606000062110,6.8493148036046435e-12
3uqepgd76f9ecnauehcl4sucbh,19,287828,6.601164584404575e-05
453lvg24j5relktbluq4s08um3,15,1606000315833,9.339973256617825e-12
49rbuft0lmtfjd3qn70np3lk51,16,438815,3.6461834713945515e-05
49smdeovekeq8fgrnfejp533r3,9,1606000071738,5.603984805716898e-12
4bnqt73v1q2ofhu8uj797irb7a,10,1606000203655,6.226649272672318e-12
4fo576p1kf4i1frb6s4c07q3pp,14,1606000117173,8.717309451162329e-12
4h1710vfqecf0h4r5ns5tkv72t,9,1606000053309,5.603984870023145e-12
4j64bd6drdkbib7sfpaue62poi,19,490169,3.876214122068103e-05
4m80gpjmc7m39n63ksnr40i6fo,15,1606001041394,9.33996903699395e-12
4mae49mh8va4g03vjatfn6np9b,12,254755,4.7104080390963866e-05
4siqhlcume2me7ialjagodfeaa,13,1606000115172,8.094644500450562e-12
55vbvsikr2l9bfeklmh8cumi5k,14,1606000075224,8.717309678859961e-12
5764gbg3t8mtql9553lu8kf2gi,20,1606000157888,1.2453298900232592e-11
5c21arc60f2e89ghcan6ek4rv3,15,1606000231419,9.339973747542102e-12
5ee4b4pb3sfijdhpp5hcdvlctl,12,1606000091092,7.471979650910603e-12
5f7no8vabec3n4d414fgkvsql1,11,1606000076425,6.849314742553624e-12
5hv5h86d5hnph965gtsjskmtu0,8,146316,5.46761803220427e-05
5ke7d1qpke4gbknkauee4runq1,11,1606000112891,6.849314587032396e-12
5n0umenmhi0prg00139sh2111v,13,1606000056890,8.094644794206512e-12
5rr9dand0l9k30j3bb7jhskidi,23,1606001081823,1.432128549620421e-11
5t832mbt4eh6u8rj4k6sml78rk,14,1606000191306,8.717309048771155e-12
62fp2u5etekvin0lrlmmq7ras2,19,1606000149522,1.1830634016849278e-11
64grp6p1ob94ga6d6grls0ocg0,14,1606000106341,8.717309509958026e-12
656v65u3buefq447rk141pj08c,11,346690,3.1728633649658194e-05
65jksu5rbgasntdo5kcspn140b,14,320179,4.372554102548887e-05
69pb8jcum0600139r70m1aqbrf,15,380572,3.941435523370085e-05
6epdcnda98fpecfs85jtpdm8bs,14,1606000226320,8.717308858716475e-12
6erlvu5i411jk2mgv75rv363e7,12,1606000241370,7.471978951736265e-12
6g7u329js521monmac550kdf1k,20,1606000134606,1.245329908076664e-11
6gftqgk6qqkipsecbrvk0mtr5h,14,176647,7.925410564572283e-05
6i6kr6b4j4e7mkn12n3q2vq4ih,74,1606054172481,4.607565626860911e-11
6mihesnd25t81o8q64jlaod935,16,1606000186088,9.962638945250588e-12
6ntd0tthl2oaq1l21tho6bflst,13,360702,3.604083148970618e-05
6ogn97v63ghf0kg1eidoro9533,17,1606000127790,1.0585304263576568e-11
6rb2dgd25a6v043offbhmlehl8,17,1606000308917,1.058530306975089e-11
6rm870g54tcodidn4igk93cg9t,7,1606001283327,4.358651560662994e-12
6t1t0stce6afdl4ob3hl152fnj,16,1606000270285,9.96263842294413e-12
6uoqnd2dvamqempceg9ptlc0v1,18,1606000052260,1.1207969747367062e-11
720ua9gtve32n6s1glmvebjltk,17,1606000149423,1.0585304120991347e-11
7428dqv0aoerlt7uj52th5qac2,9,256090,3.5143894724510917e-05
75ufmqjcbcd722b8qt9sdvphdi,15,377471,3.973815206996034e-05
76150kjid2p1e830ilbabbocir,20,1606001116363,1.2453291467998865e-11
777aid4b8r0bh5do5ujttgh7me,9,1606000311584,5.6039839687971725e-12
77ac9gmq9m61tv68pqdpg1holt,12,163542,7.337564662288586e-05
7a9emfkn0ri8ntg4k0uotsi07v,415,1595058910001,2.6017847829817135e-10
7e7nf7k4fcjagt3nasaihu4scq,9,1606000024079,5.603984972018459e-12
7el564n2rvpqj7hl5gn3b8uk8j,16,284206,5.629719288121996e-05
7f2bg9n48opuf4ligvtc1dsopr,14,332090,4.2157246529555244e-05
7fk29hdm43m3g5jcsn40ilqq72,14,206905,6.766390372393127e-05
7gce60ae3b26e071uuothvl8ov,18,490051,3.6730870868542253e-05
7ijkbba54hddp8bflnqkq3ttkv,13,1606000127673,8.09464443744238e-12
7jbhkuigmbeo5m7ei6h4eefrmk,8,191469,4.178222062057043e-05
7jtk8r1ak181fhbf582hjhvbdq,16,1606000110772,9.962639412464824e-12
7njpagdcao6g5djp50o4pagroc,9,1606000053291,5.603984870085954e-12
7onurvslijk8fm97iohvhcoq52,17,91182,0.00018644030620078525
7r2rm6dnna7k51md8e5m4ufpgs,26,1606000544887,1.618928466915893e-11
7rgj8vp869l5hv128476ipugq0,10,1606000144421,6.226649502329423e-12
7s2ruv2tf2bpptvc3g6ujkpsbr,20,1606000146872,1.245329898565322e-11
7t04jne512skpddsh6v4p3k3th,20,1606000417144,1.245329688990157e-11
7viehtkjnmi6q1dque68cpudao,10,215319,4.644271987144655e-05
83okvnom28kpisse1fr9h2i6hk,14,1606000152637,8.717309258665047e-12
84q2klr0foifmc69684fjvafqa,15,199467,7.520040909022545e-05
89vshcu5jgp79ebb68f7jjkqc5,70,1594001482776,4.391463919976596e-11
8h83euesdq85f0shmjm34alpln,14,325101,4.3063540253644255e-05
8hj8u6nem85dat2rjgu8v7urhl,13,1606000304651,8.09464354542886e-12
8ikvavmgf5jc51c5goirm6gd5i,13,245430,5.2968259788941856e-05
8is1s1cv7tu0c13vcqka04ck8m,42,1595005449751,2.6332198430141237e-11
8kvar6qgj9j0r4qj5fcpkr3os4,13,1606000309813,8.094643519411089e-12
8rgi5ent4bhdjhmsndl461qiid,13,1606000103175,8.09464456091846e-12
8sbj7j6lh3n546om3rt30fk64n,21,1606001002907,1.3075956965150205e-11
8srapvmong540puc7nb8gttr9s,19,420774,4.5154881242662334e-05
8u4qvgq4v27s61p19tufp3e89i,10,1606000114322,6.226649619026751e-12
8ulhfbi2gtqm0lc3eeuufouv34,19,1606000166124,1.1830633894550295e-11
9cuovso04bhmsmeovv59e513qh,14,110215,0.00012702445220704985
9dsc15b0dug768h29lutm2sklo,20,1606000321799,1.245329762922869e-11
9hdhd3r1imn0bdlevf1s4g2ks4,13,238358,5.4539809865832065e-05
9ppkomphkbu1dv8o483g64jqsv,10,1606000140272,6.226649518415578e-12
9ps9ql7hbv7pcbs8mjr50e0rt8,10,366026,2.7320463573625917e-05
9sha96b0pmg0a7sknb0nm584ep,15,1606000149555,9.33997422363646e-12
9u9n60vrj29l7tvlt893mdhi07,19,1606000215527,1.1830633530622071e-11
9ucesp41db4848uq9h8of7fcgd,8,146739,5.4518566979466945e-05
a1cgh1mg2ljn1lrb41ud03f67i,14,1606000203255,8.71730898391243e-12
a511chc13vi6tde0dr4780cr9n,14,345026,4.0576652194327386e-05
ad9scp2lb57iibuqakamfu5hjg,12,1595012230013,7.523453284055506e-12
ahpte8dp0s8io8sd28orasfpkj,11,1606000185972,6.8493142753544995e-12
aj9b410e48gia1a4u0s5e0on3v,15,159877,9.382212575917736e-05
ajpjcn74cv2ta0boepifbre3pe,13,198892,6.536210606761459e-05
akniekteebr1v6m9uetbh65sha,18,1606000431944,1.1207967097625068e-11
alj7kd9jmvubmb2khqu59nl9ho,20,1606000351373,1.2453297399905063e-11
ap7lk8nq9ssv9uftnfbf676nop,17,1606000226888,1.0585303610411977e-11
aqn61ppbjkhm8841j1ofqp0u0a,14,379001,3.693921651921763e-05
as0na0kr8o0gfoe8do6a6cjsfi,15,335238,4.474433089327582e-05
aukl3llmaggljgm2dv21pgl802,17,310402,5.47676883525235e-05
auss0hbmmf507a7eqq1i2ls24f,17,1606000333215,1.058530290960043e-11
av66aadi59rs6j2njfq9ka2ab9,11,1606000197984,6.8493142241253874e-12
b29vltsdmop45jv4bjp64gc73o,12,208698,5.7499353132277265e-05
b3avd2j0387kff1fs4hseklo4t,15,462463,3.2435027234611204e-05
b6hfnt250mbc1h2qub8slvg0j4,13,1606000290736,8.094643615563944e-12
b9k26s8r31dauqokj6svvbedc6,17,1606000363580,1.0585302709461794e-11
bbvicd8c0b0onlrtpspn8slmo3,16,1606000250452,9.962638545975873e-12
bdc60f7qbpi1sk4b33k13c7adi,9,1606000152191,5.603984524983805e-12
bdnrcfsa6rd1fuorjjjmi0o20s,17,420205,4.045644387858307e-05
bdsf9dba41deu2j4744onppg6k,18,1606000326734,1.1207967831865404e-11
bhgacl77180d93ov5a5fbbau9v,14,398166,3.516121416695549e-05
bl68qvemb1fdbu18lst67s7pa5,16,1606005170673,9.962608024042142e-12
bmffbdlnb9nv70j14hil43n3jl,250,1606012137970,1.5566507505727827e-10
brrlh9tmiodt2ekkjvn7kcsps0,7,250262,2.7970686720317108e-05
c0dk2v6mvdlnfaro53euc4u2dh,19,1606000092741,1.1830634435127728e-11
c4icboll633l807dsum9a4jf6f,17,1606000340366,1.05853028624675e-11
c4jthmvc4kk57hh14pugnmmj9j,17,519060,3.275151234924671e-05
caouro53ha6k4ktgr087r3mm3e,20,1606000439510,1.2453296716470461e-11
capa6qv5o85v96iqab45773l3v,13,1606000118542,8.094644483464915e-12
ck0vis16184tm6572eohin19d2,12,367532,3.2650218212291716e-05
cmtn6a23es1vk1v038j2pd0cqa,125,1595007115902,7.836955631969746e-11
coom33f4pfor5m2sifo3jphip8,14,580173,2.4130733419169798e-05
cp0fsmlkqai46gpcgkf8uhel89,14,1606000211483,8.717308939251154e-12
cplv14bimptr0q91k4v96bbjpj,27,1606003872377,1.6811914631337768e-11
cpsdqcel0k0qkdbmen6e7naqtk,10,1606000042092,6.226649899070892e-12
cqifhegb8rual6rgoa4kp17cgp,17,1606000967102,1.0585298731591798e-11
cs2g8i2bgh2nc7i5eiq23jp9lv,16,1606000248601,9.962638557458339e-12
cuopc1ldihiqtmik2jg0e8is86,19,1606000181989,1.1830633777680441e-11
cupcde8stlaqucrpahgnsiv0b2,18,379445,4.7437705069245874e-05
d0fqf9div7sivpkmojq2vkl5rj,18,1606001332992,1.1207960809388484e-11
d30cg3kv9lg5tfrldsqj031l1k,19,1606000214170,1.183063354061844e-11
d46m49a9l5vmcfitmoov0nnifn,10,1606000169586,6.226649404761789e-12
d56qe8tlbmju1frcr1t6l1flja,84,1606001093007,5.230382492624734e-11
d7em9di62egju3ahonmu647oeh,17,1606000372696,1.0585302649377362e-11
d7ourvq3bntmee5hjnv5it7v7f,17,1606000124474,1.058530428543265e-11
dathp4f9v59rcb8gv8qr01htqg,38,1606000912140,2.3661256798020687e-11
db1eh088lv5ga1nen3ikagrlld,14,1606000099574,8.717309546689052e-12
de7gpp1pje9dbdb5d32fnr7v9t,12,1606000161337,7.471979324092947e-12
dft8qvdauujqen81pdjev9po2o,82,1606001207953,5.105849210693729e-11
dhn1bd8uiaa3qnajsd3vg6kgc3,16,1606000202004,9.962638846517499e-12
djtvhvvtqtj6v5ganfrvre7094,12,1606000251419,7.471978904982898e-12
dne20ji4gjh7i5k19nueps0biu,17,102448,0.00016593784163673278
dplgo3sid3ccoh1p28kt7oal82,9,24415,0.00036862584476756095
dpmpsl8ejt2b9e49o7ulf939f7,14,1606000320882,8.717308345437524e-12
dpo8vpnhg6ca53pj9di78t9513,7,261158,2.6803697378598395e-05
dpt66d4mu55mfh94hban355h18,20,1606000070640,1.2453299576773922e-11
dr09rk5eagjuu87gedvdqmq3gl,11,247659,4.4415910586734176e-05
dufvrtn3u77g2pc3hc6to751ld,20,1606000315098,1.2453297681189793e-11
e8jmubonei35n62lcbcj9h2t8f,24,1606004535683,1.494391794466091e-11
ea6o9mrlbajljrpf2s0rgb58g2,19,1606000106257,1.1830634335561823e-11
eaco6jibk68tptehc26jin808r,12,1606000202883,7.471979130798541e-12
eb755astnc2v6cch658lgfrhfh,18,286896,6.274050527020244e-05
ebas262pt4detu2qrnao3ms6g3,9,1606000027642,5.603984959585708e-12
ebnjc41jpisf779951hm4okh7p,13,183667,7.078027081620541e-05
edeshbkv1db1cllm5gipdkkklo,15,1606000301016,9.339973342788658e-12
efv4a0sofko479l05cmopqs3ml,9,1606000180371,5.603984426652382e-12
ekgb1bqqcjo0i087koh3cqo2nr,20,1606000446211,1.2453296664509366e-11
elrsng5u5rasfrr7j91ad8dmgl,11,1606000070092,6.849314769562783e-12
eoj0v25cg7p78ojpr26s9tea94,16,214689,7.452640796687301e-05
eojfrtvrp3d9tbsv570shra6ck,17,1606000387495,1.0585302551835733e-11
euj4q1fvb0h7sgca0ngnkb88gs,11,193492,5.6849895602918986e-05
ev7egii8jia9kq6jfcvp3ccego,19,1606000134925,1.1830634124378388e-11
f0prqiag90373knljtlksmsp9g,13,1606000215787,8.094643993325688e-12
f76c77gidobkhj3onqhf4s3n4d,10,31989,0.0003126074588139673
f8mmn03rdoojfjb50ma70ii8pg,23,1606001129472,1.4321285071301063e-11
f9gd6pgmkcgvpb3lfnmr1rp86k,14,87976,0.00015913430935709738
